doc_id,interventions,doc
11099086,"['ciprofloxacin', 'ceftriaxone']","Oral ciprofloxacin vs. intramuscular ceftriaxone as empiric treatment of acute invasive diarrhea in children.

BACKGROUND Acute invasive diarrhea is a potentially serious condition in children. Because of the increasing resistance of enteric pathogens to commonly used oral antibiotics, intramuscular ceftriaxone has become the routine drug in the treatment of acute invasive diarrhea requiring an emergency visit in southern Israel. The inconvenience of this parenteral regimen created an increased need for oral pediatric formulations for the treatment of invasive diarrhea.
OBJECTIVES To evaluate the efficacy and safety of a suspension formulation of ciprofloxacin in the treatment of acute invasive diarrhea in infants and children.
PATIENTS AND METHODS From July 1996 through December 1997, 201 evaluable children ages 6 months to 10 years (35% <1 year; 70% <3 years) presenting with acute invasive diarrhea at the Pediatric Emergency Room were randomized to receive either ciprofloxacin suspension (10 mg/kg twice a day + im placebo; n = 95) or im ceftriaxone (50 mg/kg/day + placebo suspension; n = 106) for 3 days in a double blind manner. Stool cultures for Shigella, Salmonella, Campylobacter spp. and diarrheagenic Escherichia coli were obtained on Days 1, 3, 4 to 5 and 21 +/- 5. Clinical response and safety were assessed on Days 1, 2, 3, 4 to 5 and 21 +/- 5.
RESULTS We isolated 127 pathogens from 121 (60%) patients: 73 (57%) Shigella; 23 (18%) Salmonella; 18 (14%) E. coli; and 13 (10%) Campylobacter. Overall bacteriologic eradication on Day 4 to 5 was 99% for Shigella, 77% for Salmonella and 77% for Campylobacter, with no difference between the 2 groups. Clinical cure or improvement was observed in 100 and 99% of the ciprofloxacin and ceftriaxone groups, respectively. Serum ciprofloxacin values determined on Day 3 of the treatment were higher in the majority of patients than were the MIC50 and MIC90 values for the Shigella and Salmonella spp. isolated. Possible drug-related adverse events occurred in 13 patients [ciprofloxacin, 8 (8%); ceftriaxone, 5 (4.7%)] and were mild and transient. Joint examination was normal during and after completion of therapy in all patients.
CONCLUSION Oral ciprofloxacin was as safe and effective as intramuscular ceftriaxone for the empiric treatment of acute invasive diarrhea in ambulatory pediatric patients requiring an emergency room visit.

"
11229858,"['antipyretic drugs', 'antipyretics', 'naproxen', 'metamizol']","Effect of antipyretic drugs in children with malaria.

A comparison of different antipyretics in children with malaria showed a small effect of naproxen, but not of metamizol, on the reduction of fever peaks. Antipyretic treatment had no effect on fever clearance and therefore should be used cautiously in the treatment of malaria.

"
1131298,"['essential oils of garlic and onion', 'garlic and onion', 'garlic or onion', 'essential oils', 'garlic', 'onion']","Effect of the essential oils of garlic and onion on alimentary hyperlipemia.

SUMMARY The effect of garlic and onion on alimentary hyperlipemia, induced by feeding 100 g butter, has been studied in 10 healthy subjects. The freshly extracted juice of 50 g of garlic or onion, as well as an equivalent amount of their ether-extracted essential oils, was administered randomly on four different days during a one-week period. Garlic and onion have a significant protective action against fat-induced increases in serum cholesterol and plasma fibrinogen and decreases in coagulation time and fibrinolytic activity. The essential oil fraction, which contains all the taste and odour, exactly duplicated the beneficial effects of whole garlic and onion. It is, therefore, concluded that the active principle of garlic and onion is the essential oil, which chemically is a combination of sulphur-containing compounds, mainly allyl propyl disulphide and diallyl disulphide.

"
11317090,"['aquatic exercise', 'aquatic exercise classes', 'aquatic classes', 'Aquatic exercisers']","Economic evaluation of aquatic exercise for persons with osteoarthritis.

OBJECTIVES To estimate cost and outcomes of the Arthritis Foundation aquatic exercise classes from the societal perspective.
DESIGN Randomized trial of 20-week aquatic classes. Cost per quality-adjusted life year (QALY) gained was estimated using trial data. Sample size was based on 80% power to reject the null hypothesis that the cost/QALY gained would not exceed $50,000.
SUBJECTS AND METHODS Recruited 249 adults from Washington State aged 55 to 75 with a doctor-confirmed diagnosis of osteoarthritis to participate in aquatic classes. The Quality of Well-Being Scale (QWB) and Current Health Desirability Rating (CHDR) were used for economic evaluation, supplemented by the arthritis-specific Health Assessment Questionnaire (HAQ), Center for Epidemiologic Studies-Depression Scale (CES-D), and Perceived Quality of Life Scale (PQOL) collected at baseline and postclass. Outcome results applied to life expectancy tables were used to estimate QALYs. Use of health care facilities was assessed from diaries/questionnaires and Medicare reimbursement rates used to estimate costs. Nonparametric bootstrap sampling of costs/QALY ratios established the 95% CI around the estimates.
RESULTS Aquatic exercisers reported equal (QWB) or better (CHDR, HAQ, PQOL) health-related quality of life compared with controls. Outcomes improved with regular class attendance. Costs/QALY gained discounted at 3% were $205,186 using the QWB and $32,643 using the CHRD.
CONCLUSION Aquatic exercise exceeded $50,000 per QALY gained using the community-weighted outcome but fell below this arbitrary budget constraint when using the participant-weighted measure. Confidence intervals around these ratios suggested wide variability of cost effectiveness of aquatic exercise.

"
11381289,"['ramipril', 'angiotensin-converting enzyme ( ACE ) inhibitor', 'vitamin E', 'ACE inhibitor']","Why were the results of the Heart Outcomes Prevention Evaluation (HOPE) trial so astounding?

The Heart Outcomes Prevention Evaluation (HOPE) study was important because it showed the benefits of ramipril - an angiotensin-converting enzyme (ACE) inhibitor - in patients at high risk for cardiovascular events. Treatment with ramipril significantly reduced the rates of death, myocardial infarction, stroke, coronary revascularization, cardiac arrest and heart failure, as well as the risk of diabetes-related complications and of diabetes itself. The effects of therapy with vitamin E were also evaluated, but no statistical benefits were shown. The benefits of ACE inhibitor therapy that were observed were likely due to a variety of mechanisms, not just a reduction in blood pressure.

"
11401641,"['latanoprost', 'timolol']","Additive IOP-reducing effect of latanoprost in patients insufficiently controlled on timolol.

PURPOSE To evaluate the effect on intraocular pressure (IOP) of switching from timolol to latanoprost or adding latanoprost to timolol in patients with open angle glaucoma or ocular hypertension where IOP is not adequately controlled with timolol.
METHODS This was a 6-week, double-masked, randomised multi-centre study. 53 patients with primary open angle glaucoma, capsular glaucoma, or ocular hypertension with an IOP of at least 21 mmHg on current therapy were recruited. After a run-in period of at least 2 weeks on timolol, 5 mg/ml twice daily, patients were randomised to one of three groups. One group continued on timolol, one switched from timolol to latanoprost, 50 microg/ml once daily, and a third group received latanoprost in addition to timolol. The efficacy was evaluated by comparing IOP at 9 AM at baseline and after 6 weeks of treatment.
RESULTS IOP at baseline and after 6 weeks of treatment (mean +/- SEM) were 24.2 +/- 0.9 and 23.8 +/- 1.0 mmHg (n = 16) for patients continuing on timolol, 26.3 +/- 1.2 and 19.6 +/- 1.1 mmHg (n = 17) for patients switching to latanoprost, and 23.2 +/- 1.0 and 17.5 +/- 0.8 mmHg (n = 17) for patients with combined treatment. Adding latanoprost to timolol reduced IOP with 5.9 +/- 0.9 mmHg (p < 0.001) and switching from timolol to latanoprost reduced IOP with 5.0 +/- 0.9 mmHg (p < 0.001), which caused in each group a significant IOP reduction of about 25%.
CONCLUSIONS The effect of latanoprost was additive to that of timolol, and a good effect on IOP reduction was also achieved by switching from timolol to latanoprost, suggesting that a switch in many patients is an effective alternative to combination treatment.

"
11454878,"['pegylated liposomal doxorubicin', 'topotecan', 'pegylated liposomal doxorubicin ( PLD', 'PLD']","Recurrent epithelial ovarian carcinoma: a randomized phase III study of pegylated liposomal doxorubicin versus topotecan.

PURPOSE To compare the efficacy and safety of pegylated liposomal doxorubicin (PLD) and topotecan in patients with epithelial ovarian carcinoma that recurred after or didn't respond to first-line, platinum-based chemotherapy.
PATIENTS AND METHODS Patients with measurable and assessable disease were randomized to receive either PLD 50 mg/m(2) as a 1-hour infusion every 4 weeks or topotecan 1.5 mg/m(2)/d for 5 consecutive days every 3 weeks. Patients were stratified prospectively for platinum sensitivity and for the presence or absence of bulky disease.
RESULTS A total of 474 patients were treated (239 PLD and 235 topotecan). They comprised the intent-to-treat population. The overall progression-free survival rates were similar between the two arms (P =.095). The overall response rates for PLD and topotecan were 19.7% and 17.0%, respectively (P =.390). Median overall survival times were 60 weeks for PLD and 56.7 weeks for topotecan. Data analyzed in platinum-sensitive patients demonstrated a statistically significant benefit from PLD for progression-free survival (P =.037), with medians of 28.9 for PLD versus 23.3 weeks for topotecan. For overall survival, PLD was significantly superior to topotecan (P =.008), with a median of 108 weeks versus 71.1 weeks. The platinum-refractory subgroup demonstrated a nonstatistically significant survival trend in favor of topotecan (P =.455). Severe hematologic toxicity was more common with topotecan and was more likely to be associated with dosage modification, or growth factor or blood product utilization.
CONCLUSION The comparable efficacy, favorable safety profile, and convenient dosing support the role of PLD as a valuable treatment option in this patient population.

"
11495215,"['Oral contraceptive', 'oral contraceptives ( OCs', 'OC', 'cigarette smoking', 'nicotine', 'nicotine deprivation']","Oral contraceptive use is associated with increased cardiovascular reactivity in nonsmokers.

Women who smoke and take oral contraceptives (OCs) have significantly increased risk of cardiovascular disease, but the exact mechanismsfor the increased risk are not known. Cardiovascular reactivity to psychological stress may be one mechanism for the enhanced risk, but the small number of studies examining whether OC users who smoke have greater reactivity have produced mixed results. The purpose of this study was to examine the effect of chronic cigarette smoking, acute nicotine administration, and OC use on cardiovascular and lipid reactivity. Sixty healthy women, half of whom had been using OCs for at least the previous 6 months, participated in the study. Approximately two thirds were smokers and were randomized to be tested after either a 12-hr nicotine deprivation or administration of nicotine gum. One third were nonsmokers. Heart rate, blood pressure, and lipid measures were taken at rest, during a videotaped speech task, and during recovery from the task. Results indicated that, among OC nonusers, there was no effect of smoking status or nicotine administration on cardiovascular reactivity. However, among OC users, nonsmokers had significantly greater heart rate and diastolic blood pressure reactivity to stress. These data show that acute nicotine administration, in the form of nicotine gum, has no effect on cardiovascular or lipid stress reactivity in women. However OC use among nonsmoking women is associated with greater cardiovascular reactivity to stress.

"
11642083,"['Neoton', 'thrombolytic therapy', 'thrombolytic therapy ( TLT', 'TLT', 'streptokinase', 'streptokinase preparations']","[Neoton and thrombolytic therapy of myocardial infarction].

AIM To evaluate neoton therapy effects in acute myocardial infarction (MI) on systolic function of the left ventricle, arrhythmia and clinical symptoms in patients on thrombolytic therapy (TLT).
MATERIAL AND METHODS 106 males with Q-MI entered the study. 47 received treatment without TLT and neoton, 30 patients received TLT with streptokinase preparations, 29 patients were given streptokinase preparations and neoton. Left ventricular systolic function was measured by echocardiography on day 1, 3, 7, 14, 21 and 28; arrhythmia was analysed at Holter monitoring in day 1 and 2 of MI.
RESULTS TLT failed to arrest progression of left ventricular dilation by the end of the hospital stay. Patients given neoton in acute period of MI had no increase in the end systolic and diastolic volumes of the left ventricle in the course of the first months after MI onset. Antiarrhythmic action of neoton manifested on MI day 2.
CONCLUSION Neoton given to MI patients receiving TLT prevents progression of left ventricular systolic dysfunction and establishment of predictors of unfavourable outcome.

"
11737955,"['Antioxidant supplementation', 'antipyrine hydroxylates', 'dl-alpha-tocopheryl acetate', 'ascorbic acid', 'beta-carotene', 'placebo', 'Antipyrine']","Antioxidant supplementation and exercise-induced oxidative stress in the 60-year-old as measured by antipyrine hydroxylates.

The effects of 12 weeks of antioxidant supplementation on exercise-induced oxidative stress were investigated in older adults (60 (SE 1) years; BMI 26 (SE 1) kg/m(2)). Subjects were randomly divided in two groups: supplementation (n 11) with 100 mg dl-alpha-tocopheryl acetate, 200 mg ascorbic acid, and 2 mg beta-carotene, and placebo (n 9). Before and after the 12 week supplementation period, subjects cycled for 45 min at submaximal intensity (50 % maximal workload capacity). Antipyrine was used as marker for oxidative stress. Antipyrine reacts quickly with hydroxyl radicals to form para- and ortho-hydroxyantipyrine. The latter metabolite is not formed in man through the mono-oxygenase pathway of cytochrome P450. Daily supplementation significantly increased plasma concentrations of alpha-tocopherol and beta-carotene in the supplemented group (Delta 14.4 (SE 3.2) and 0.4 (se 0.1) micromol/l; P<0.001 and P<0.01). No significant differences, within and between groups, were observed in the exercise-induced increase in the ratios para- and ortho-hydroxyantipyrine to antipyrine. In addition, supplementation did not affect the exercise-induced increase in thiobarbituric acid reactive substances in plasma. In conclusion, in 60-year-old subjects antioxidant supplementation had no effect on the exercise-induced increase in oxidative stress as measured by free radical products of antipyrine.

"
11750293,['standard outpatient clinic treatment'],"The course of depression in recent onset rheumatoid arthritis: the predictive role of disability, illness perceptions, pain and coping.

BACKGROUND This study aimed to investigate the course of depression for patients with recently diagnosed rheumatoid arthritis (RA) and to investigate predictors of depression.
METHODS Twenty-two patients with a history of recently diagnosed RA of less than 2 years were assessed on a variety of clinical outcome and process measures on six assessment occasions over a 21-month period. These 22 patients constituted the control group of a controlled trial and received standard outpatient clinic treatment during follow-up.
RESULTS Patients became significantly more depressed over time. A set of five factors were found to consistently predict depression at the following assessment. These were initial level of depression, disability, pain, beliefs about the consequences of arthritis and coping strategies.
CONCLUSIONS The results confirm the importance of psychological factors in early RA and their relative independence from physical findings. This is the first study to document the importance of illness perceptions in recent onset RA.

"
11829043,"['progressive muscle relaxation training', 'progressive muscle relaxation training ( PMRT', 'PMRT']","A pilot study on the effect of progressive muscle relaxation training of patients after stoma surgery.

Eighteen patients who had undergone stoma surgery were assessed with respect to their anxiety level and self-reported quality of life (QoL) on three occasions; namely, immediately after surgery, 5 weeks after surgery, and 10 weeks after surgery. The patients were randomised into a control group (n = 10) and an experimental group (n = 8). A 20-min set of audiotaped instructions on progressive muscle relaxation training (PMRT) was given to the patients in the experimental group for home practice. Assessment instructions included the Chinese State-Trait Anxiety Inventory (C-STAI), the Quality of Life Index for Colostomy (QoL-Colostomy) and the Hong Kong Chinese version of the World Health Organisation Quality of Life Scale (WHOQoL). Results indicated that there was a significant decrease in both the C-STAI score (F = 4.66, P < 0.05) and the WHOQoL score (F = 4.74, P < 0.05) in the experimental group. Among the domains of WHOQoL, a significant difference was shown in physical health/independence and general perception of QoL, with the experimental group demonstrating better functioning. For the QoL-Colostomy, however, there was no significant difference between the control and experimental groups. The results suggest that the use of PMRT could enhance quality of life and decrease state anxiety in patients after stoma surgery.

"
11891832,"['methotrexate', 'placebo']","Comparison of weakness progression in inclusion body myositis during treatment with methotrexate or placebo.

We investigated whether 5 to 20mg per week oral methotrexate could slow down disease progression in 44 patients with inclusion body myositis in a randomized double-blind placebo-controlled study over 48 weeks. Mean change of quantitative muscle strength testing sum scores was the primary study outcome measure. Quantitative muscle strength testing sum scores declined in both treatment groups, -0.2% for methotrexate and -3.4% for placebo (95% confidence interval = -2.5% to +9.1% for difference). There were also no differences in manual muscle testing sum scores, activity scale scores and patients' own assessments after 48 weeks of treatment. Serum creatine kinase activity decreased significantly in the methotrexate group. We conclude that oral methotrexate did not slow down progression of muscle weakness but decreased serum creatine kinase activity.

"
